Migrant remittance inflows (US$ million),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022e,% of GDP in 2022,,,
Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,80,99,116,111,116,130,174,152,155,143,93,258,296,300,349,454,545,3.0,,,
Myanmar,6,2,0,28,42,81,122,147,136,135,102,116,105,84,117,129,115,81,55,54,115,127,275,"1,644","1,808","1,934","2,255","2,453","2,673","2,553","2,671","2,000","1,900",3.2,,,
Namibia,12,13,15,15,15,16,14,13,11,10,9,8,8,12,15,17,16,16,14,77,69,79,80,64,81,47,66,48,54,66,64,46,44,0.4,,,
Nepal,0,0,0,55,50,57,44,49,68,83,111,147,678,771,823,"1,212","1,453","1,734","2,727","2,983","3,464","4,217","4,793","5,584","5,889","6,730","6,612","6,928","8,287","8,244","8,108","8,203","8,500",21.8,,,
Netherlands,465,440,497,480,511,665,697,661,631,486,426,483,484,"1,121","1,298","1,259","1,553","1,630","1,649","1,713","1,720","1,789","1,640","1,619","1,483","2,298","2,160","2,226","2,450","2,234","2,113","2,370","2,000",0.2,,,
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,333,448,493,512,537,491,544,509,492,594,715,724,721,613,621,0,0,0,0,,,,,,
New Zealand,0,0,0,0,0,0,0,0,0,0,215,0,233,290,322,352,335,384,421,331,371,455,462,459,535,532,528,539,509,463,148,17,25,0.01,,,
Nicaragua,0,0,10,25,50,75,95,150,200,300,320,336,377,439,519,616,698,740,820,770,825,914,"1,016","1,081","1,140","1,198","1,268","1,395","1,505","1,686","1,855","2,151","3,126",19.9,,,
Niger,14,13,18,16,7,8,4,5,19,27,14,22,19,26,60,66,78,79,94,102,134,166,152,146,219,172,176,264,297,309,521,542,534,3.6,,,
Nigeria,10,66,56,793,550,250,297,586,449,"1,301","1,392","1,167","1,209","1,063","2,273","14,640","16,932","18,014","19,200","18,371","19,745","20,617","20,543","20,797","20,999","20,626","19,698","22,037","24,311","23,809","17,208","19,483","20,945",4.2,,,
North Macedonia,0,0,0,0,0,0,68,78,63,77,81,73,106,174,213,227,267,345,407,381,388,434,394,376,367,307,291,314,344,317,413,489,450,3.2,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,49,56,190,166,170,239,309,289,301,288,270,279,333,392,465,505,529,617,685,631,680,765,767,791,760,609,594,616,644,616,593,672,600,0.1,,,
Oman,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,0.04,,,
Pakistan,"2,006","1,549","1,574","1,446","1,749","1,712","1,284","1,707","1,172",996,"1,075","1,461","3,554","3,964","3,945","4,280","5,121","5,998","7,039","8,717","9,690","12,263","14,007","14,629","17,244","19,306","19,819","19,856","21,193","22,252","26,089","31,312","29,000",7.7,,,
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,0.9,,,
Panama,110,108,102,109,112,112,86,64,58,48,16,73,85,107,109,130,301,355,378,337,410,368,411,461,756,554,503,533,538,581,456,568,596,0.8,,,
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,6,7,10,7,4,8,7,5,4,12,14,14,10,4,3,4,4,0,0,2,2,0.01,,,
Paraguay,34,42,64,95,148,135,137,141,143,148,152,140,99,110,132,161,336,341,363,377,410,541,634,623,507,554,657,704,683,666,584,585,554,1.3,,,
Peru,87,148,240,289,473,599,597,636,647,670,718,753,705,869,"1,133","1,440","1,837","2,131","2,444","2,409","2,534","2,697","2,788","2,707","2,637","2,725","2,884","3,051","3,225","3,326","2,939","3,592","3,699",1.5,,,
Philippines,"1,465","1,850","2,537","2,587","3,452","5,360","4,875","6,799","5,130","6,693","6,924","8,760","9,735","10,239","11,468","13,733","15,496","16,437","18,851","19,960","21,557","23,054","24,610","26,717","28,691","29,799","31,142","32,810","33,809","35,167","34,883","36,685","38,000",9.5,,,
Poland,0,0,0,0,581,724,774,848,"1,070",825,"1,496","1,563","1,685","2,284","5,186","6,471","8,486","10,468","10,475","8,174","7,712","7,768","7,041","7,457","7,468","6,834","6,764","7,302","7,603","7,063","6,727","7,131","8,000",1.1,,,
Portugal,"4,479","4,718","4,762","4,315","3,806","3,953","3,708","3,488","3,532","3,644","3,496","3,647","2,927","3,040","3,303","3,222","3,479","4,155","4,298","3,781","3,734","3,924","3,993","4,452","4,504","4,048","4,126","4,505","4,801","4,717","4,849","5,128","4,694",1.8,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,803,574,499,437,379,666,467,577,652,859,624,0.3,,,
Romania,0,0,0,0,11,9,18,16,49,96,96,116,143,124,131,952,"1,160","1,624","1,702",682,641,694,733,"4,806","5,084","5,391","5,930","6,556","6,984","8,142","7,626","9,160","11,064",3.7,,,
Russian Federation,0,0,0,0,108,166,102,227,301,425,500,986,936,"1,114","2,207","3,437","3,820","4,666","5,737","5,105","5,250","6,103","5,788","6,751","7,777","6,903","6,689","8,235","9,287","10,432","9,915","9,647","6,000",0.3,,,
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,174,182,170,184,159,173,215,261,261,280,391,469,3.9,,,
Samoa,43,35,40,32,37,41,44,47,42,45,0,0,0,0,1,82,87,97,109,119,139,160,178,165,141,131,131,136,148,155,204,248,280,33.7,,,
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,0,0,0,0,0,0,0,1,1,1,0,1,1,2,1,2,2,2,3,2,6,7,6,27,27,20,18,18,18,11,9,11,10,2.1,,,
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,106,123,216,214,236,244,246,269,273,295,308,291,335,334,302,295,273,0.03,,,
Senegal,142,163,176,170,114,146,150,150,147,186,234,305,346,512,634,789,926,"1,193","1,482","1,356","1,479","1,616","1,576","1,778","1,932","1,758","1,981","2,149","2,428",138,"2,588","2,658","2,711",9.8,,,
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,764","3,545","4,650","4,117","3,961","3,546","4,025","3,696","3,370","3,205","3,590","4,446","4,238","3,869","4,598","5,400",8.6,,,
Seychelles,8,7,11,0,0,1,1,0,0,0,3,2,2,5,7,12,13,5,3,16,17,25,18,13,15,18,22,22,23,24,10,10,9,0.5,,,
Sierra Leone,0,0,0,0,0,24,25,6,20,22,7,6,22,26,25,2,16,42,23,36,44,59,65,70,62,48,58,64,73,68,177,180,179,4.4,,,
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,56,73,62,55,61,55,51,48,36,,,,,,
Slovak Republic,0,0,0,79,48,26,21,29,23,19,18,22,24,425,703,"1,211","1,343","1,662","2,050","1,672","1,591","1,754","1,927","2,072","2,396","2,138","2,120","2,164","2,211","2,545","2,464","2,235","2,300",2.0,,,
Slovenia,0,0,38,52,273,270,275,238,225,223,202,198,213,231,261,261,279,320,380,173,164,210,249,314,373,400,452,502,645,663,656,747,800,1.3,,,
Solomon Islands,0,0,0,0,0,0,0,0,0,2,4,5,3,4,9,7,11,13,9,13,14,17,21,21,16,19,20,16,20,25,28,51,40,2.5,,,
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,482","1,577","1,735","1,735","1,735",20.6,,,
South Africa,108,104,91,83,79,83,75,176,259,307,325,282,268,391,468,614,692,792,784,862,"1,070","1,158","1,085",971,913,825,755,874,929,890,811,927,"1,019",0.2,,,
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"1,139","1,083",634,"1,267",80,87,"1,236","1,187",24.8,,,
Spain,"2,114","2,020","2,415","2,048","2,280","2,764","2,925","2,899","3,253","4,647","4,862","5,099","5,584","6,568","7,540","6,662","7,353","8,963","9,742","8,584","8,707","9,676","9,724","10,666","10,761","10,304","10,263","10,635","10,986","9,975","8,509","9,000","8,500",0.6,,,
Sri Lanka,401,442,548,632,715,801,843,934,"1,013","1,064","1,154","1,170","1,296","1,423","1,574","1,976","2,167","2,507","2,925","3,337","4,123","5,153","6,000","6,422","7,036","7,000","7,262","7,190","7,043","6,749","7,140","5,522","3,600",4.9,,,
St. Kitts and Nevis,17,0,0,14,16,19,19,20,21,23,24,25,25,27,28,30,33,36,40,39,47,45,51,52,22,24,23,25,26,42,32,37,33,3.0,,,
St. Lucia,15,16,0,14,20,21,25,23,24,24,24,24,25,25,26,27,28,29,29,28,29,29,30,30,35,41,38,42,43,43,60,63,55,2.8,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,14,1,1,16,15,16,17,17,18,19,19,19,20,21,21,22,26,29,27,29,29,29,31,32,44,42,45,46,46,79,61,86,70,7.3,,,
Sudan,62,45,124,75,107,346,222,420,687,665,641,740,978,"1,224","1,403",704,801,"1,000","1,591","1,394","1,456",824,596,620,507,151,153,213,425,522,495,"1,126","1,013",2.4,,,
Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,2,5,4,4,8,7,9,7,1,98,99,96,124,148,221,7.4,,,
Sweden,114,169,195,194,212,255,270,316,126,364,438,578,512,"1,357","1,596","1,812","2,245","3,205","4,095","3,968","4,061","4,385","4,293","4,596","4,561","3,397","2,821","3,109","3,074","3,185","3,091","3,336","2,565",0.4,,,
Switzerland,924,987,"1,045","1,052","1,212","1,473","1,390","1,208","1,227","1,222",995,"1,176","1,225","1,533","1,695","1,721","1,795","1,796","2,215","2,342","2,495","2,615","2,420","2,437","2,406","2,517","2,524","2,592","2,551","2,549","2,941","3,019","2,631",0.3,,,
Syrian Arab Republic,385,350,550,352,535,339,313,238,220,198,180,170,135,889,855,823,795,"1,030","1,325","1,350","1,623",0,0,0,0,0,0,0,0,0,0,,,,,,
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,79,146,252,564,976,"1,514","2,278","1,566","2,021","2,722","3,222","3,698","3,384","2,259","1,867","2,237","2,183","2,322","2,187","2,922","3,200",32.1,,,
Tanzania,0,0,0,0,0,1,19,2,12,7,8,15,12,9,14,19,15,25,37,40,344,410,390,382,389,388,403,403,413,433,326,569,609,0.8,,,
Thailand,973,"1,019",445,"1,112","1,281","1,695","1,806","1,658","1,424","1,460","1,697","1,252","1,380","1,607","1,622","1,187","1,333","1,635","1,898","3,808","4,433","5,256","5,657","6,585","6,524","5,895","6,270","6,720","7,466","8,162","8,257","9,065","9,500",1.8,,,
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,18,113,137,137,120,34,44,62,80,87,96,100,155,169,185,7.5,,,
Togo,27,29,16,12,15,15,29,26,19,23,34,69,104,149,179,193,232,285,338,336,337,244,345,397,428,364,367,404,451,508,650,674,668,8.0,,,
Tonga,17,24,18,20,21,0,0,0,0,0,0,53,62,59,65,69,78,82,103,82,74,84,91,123,119,129,126,159,183,190,191,213,250,49.9,,,
Trinidad and Tobago,3,5,6,18,26,30,28,30,45,54,38,41,79,87,87,92,91,109,95,109,91,162,139,145,145,155,145,135,139,144,194,233,172,0.6,,,
Tunisia,551,525,531,446,629,680,736,685,718,761,796,927,"1,070","1,250","1,431","1,393","1,510","1,716","1,977","1,964","2,063","2,004","2,266","2,291","2,347","1,971","1,821","1,890","1,902","2,050","2,367","2,195","2,085",4.5,,,
Turkey,"3,246","2,819","3,008","2,919","2,627","3,327","3,542","4,197","5,356","4,533","4,560","2,786","1,936",729,804,"1,368","1,833","2,096","2,439","1,834","1,819","1,883","1,881","1,901","1,739","1,395","1,186","1,048","1,122",810,795,705,710,0.1,,,
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, , , , ,24,23,27,35,31,16,8,5,1,2,2,1,1,0.001,,,
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,8,7,0,0,,,,,,
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,4,7,5,5,5,4,6,6,5,4,5,4,2,1,1,1,1,1,1,0,,,,,,
Uganda,0,0,0,0,0,0,0,0,0,233,238,349,442,299,311,322,411,452,724,781,771,816,913,941,888,902,"1,146","1,166","1,338","1,425","1,062","1,083","1,131",2.3,,,
Ukraine,0,0,0,0,0,0,6,12,12,18,419,829,"1,192","1,523","1,873","2,408","3,102","5,290","6,782","5,941","6,535","7,822","8,449","9,667","7,354","8,474","9,472","12,132","14,694","15,788","15,213","18,060","18,421",13.9,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,977,972,972,892,"1,045","1,399","1,421","1,649","1,392","5,447","5,074","4,956","5,235","5,689","5,938","6,045","6,106","6,556","5,995","5,243","4,951","5,099","4,945","4,805","4,936","5,003","4,582","4,306","4,390","4,215","3,248","3,523","2,501",0.1,,,
United States,"1,170","1,300","1,796","1,820","1,943","2,179","2,181","2,270","2,437","4,246","4,395","4,513","4,570","4,672","4,734","4,795","5,068","5,219","5,364","5,740","5,930","6,104","6,303","6,613","6,503","6,578","6,330","6,347","6,941","7,049","6,627","6,899","6,097",0.02,,,
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,36,62,70,77,89,96,108,101,125,129,92,99,98,90,90,109,114,112,111,126,127,0.2,,,
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,029","1,421","1,709","3,632","2,180","3,438","4,910","6,090","6,443","6,815","4,843","5,795","7,130","7,610","8,546","6,980","9,198","13,500",17.1,,,
Vanuatu,7,7,7,5,6,6,0,0,8,10,14,18,4,4,5,5,5,6,9,11,12,22,22,24,64,104,81,26,35,75,98,169,75,7.6,,,
"Venezuela, RB",1,2,2,2,2,2,4,17,17,17,17,19,19,208,143,148,165,151,137,132,143,138,118,120,128,161,279,0,0,0,0,,,,,,
Vietnam,0,0,0,0,0,0,0,0,0,0,"1,340","1,100","1,770","2,100","2,310","3,150","3,800","6,180","6,805","6,020","8,260","8,600","10,000","11,000","12,000","13,000","14,000","15,000","16,000","17,000","17,200","18,060","19,000",4.6,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,0,0,0,0,0,582,542,623,"1,058","1,096",864,806,772,310,399,378,464,599,741,755,927,"1,142","1,737","1,489","1,805","1,817","2,087","2,379","2,834","3,153","2,560","3,393","3,495",18.6,,,
"Yemen, Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,283","1,283","1,322","1,411","1,160","1,526","1,404","3,351","3,343","3,351","3,351","3,771",0,0,0, ,,,,,,
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,36,48,53,58,59,68,41,44,46,73,54,58,47,38,94,107,98,135,242,260,1.0,,,
Zimbabwe,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,206","1,413","1,919","2,114","1,890","1,904","2,047","1,856","1,730","1,428","1,417","1,832","1,982","2,047",5.3,,,
Low-and Middle-Income Countries,"27,273","28,402","33,391","35,054","39,528","45,655","49,895","59,835","58,124","63,987","70,489","79,690","94,557","117,934","135,276","191,499","224,581","273,325","319,667","303,533","339,717","382,485","404,730","422,844","444,295","446,545","440,476","477,016","523,588","546,227","541,945","596,985","626,372",,,,
World,"57,347","58,714","66,159","66,503","71,662","82,487","86,805","102,750","100,225","115,387","122,482","134,153","158,059","192,182","221,430","284,925","328,039","395,340","458,324","434,038","472,058","529,188","548,763","582,291","610,160","601,673","596,493","638,342","694,405","721,737","711,037","781,076","794,059",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: All numbers are in current (nominal) US $.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venezuela has been unclassfied due to the unvailability data, thus it is not included in aggregate sum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For a discussion of the definition of remittances, see Dilip Ratha, 2003, ""Workers' Remittances: An Important and Stable Source of External Development Finance"", Global Development Finance 2003, World Bank. Data since 2005 are based on IMF BOP Statistics that use the definitions of IMF BPM6.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For additional information, please also see ""International Transactions in Remittances: Guide for Compilers and Users"", International Monetary Fund, 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP data from IMF World Economic Outlook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For latest data and analysis on migration and remittances, please visit https://www.knomad.org/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date: November 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When using the data, please cite: World Bank-KNOMAD, November 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
